SHELT_NB,shelter_id,site_id,site_on,site_at,CORN_DESC,CITY,bustop_yn,OWNER,shelter_manufacturer_id,shel_type,shelter_type_description,RT_CD,has_heat,has_light,has_solar,has_adpanel
M-1334,197,798,CHICAGO AVE S,34TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-594,149,800,CHICAGO AVE S,32ND ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-463,117,806,CHICAGO AVE S,27TH ST E,ACROSS FROM  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-408,8,807,CHICAGO AVE S,26TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-2397,1340,808,CHICAGO AVE S,25TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-5217,3080,819,CHICAGO AVE S,8TH ST S,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-337,478,864,COMO AVE,PASCAL ST,FAR SIDE  W,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,NE,N,N,N,N
M-2161,2416,866,COMO AVE,SNELLING AVE,FAR SIDE  W,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,NE,N,N,N,N
M-2383,2418,876,COMO AVE,GIBBS AVE,NEAR SIDE  W,SAINT PAUL,Y,METRO,CO,C,6 X 12 with windscreen,NE,N,N,N,N
M-2286,2420,877,COMO AVE,CLEVELAND AVE (RAYMOND),NEAR SIDE  W,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-615,9,886,COMO AVE,EUSTIS ST,FAR SIDE  W,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-1674,369,916,COMO AVE,DOSWELL AVE,NEAR SIDE  E,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,NE,N,N,N,N
M-2162,2417,931,COMO AVE,SNELLING AVE,FAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-61,396,958,FRONT AVE,DALE ST,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,Y,N,N
M-422,110,1011,50TH ST W,MINNEHAHA PKWY,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-120,407,1066,PENN AVE S,BEST BUY,FAR SIDE  N,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-763,173,1098,HENNEPIN AVE S,24TH ST W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
